Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O3PPl+R+APOSSES,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00014907573047107691,0.0009309776384016545,0.0,0.0,35,39
CSTRUNC+A,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,8.872327211427435e-05,0.0005540766567649998,0.0,0.0,35,39
O2PSgGenPREP,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,5.211590577444103e-05,0.0003254637272461038,0.0,0.0,35,39
O2PSgGenPOSSPREP,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00010423181154888462,0.0006509274544922235,0.0,0.0,35,39
O1PPl-R-AGenSUBMS,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00015634771732332564,0.0009763911817383271,0.0,0.0,35,39
N2PSgGen,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00015540015540015386,0.0009704736594247608,0.0,0.0,35,39
O3PSg+R+APOSS,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00016980811682798205,0.001060451349702549,0.0,0.0,35,39
O3PSg-R+AExp,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00017094017094016923,0.0010675210253672366,0.0,0.0,35,39
O3PPl+R+APOSSPREPES,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00014907573047107691,0.0009309776384016545,0.0,0.0,35,39
N3PSg+R+ASUBES,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00014907573047107691,0.0009309776384016545,0.0,0.0,35,39
N3PSg-R-AExpSUBES,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00014907573047107691,0.0009309776384016545,0.0,0.0,35,39
O3PSg+R+APOSSES,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00016980811682798205,0.001060451349702549,0.0,0.0,35,39
O3PSg-R+AExpSUB,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00017094017094016923,0.0010675210253672366,0.0,0.0,35,39
O3PSg-R+AExpSUBMS,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00017094017094016923,0.0010675210253672366,0.0,0.0,35,39
O3PPl+R-APOSSES,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00011655011655011538,0.0007278552445685705,0.0,0.0,35,39
N3PPl+R-ASUBES,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.0001871607711023769,0.0011688186409130447,0.0,0.0,35,39
CSTRUNC,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,8.872327211427435e-05,0.0005540766567649998,0.0,0.0,35,39
N2PSgGenSUB,665.0,-0.02564102564102566,0.3574346416222831,0.0,0.0,0.00015540015540015386,0.0009704736594247608,0.0,0.0,35,39
